189	241
241	114
241	227
241	238
165	105
117	171
117	179
117	228
135	204
114	227
138	132
241	134
241	195
241	232
114	241
227	241
221	132
221	138
221	173
221	239
241	227
241	114
241	227
241	238
165	132
204	119
127	123
241	189
241	114
241	114
114	241
241	114
241	114
114	241
239	178
239	222
239	231
239	235
178	206
127	123
127	232
114	227
241	134
241	195
241	232
204	157
114	238
241	189
189	241
241	134
241	195
241	232
241	189
114	238
127	111
135	204
114	227
114	238
114	238
145	105
241	114
114	238
114	238
208	204
114	238
241	114
241	134
241	195
241	232
131	235
131	239
114	238
114	241
114	238
227	114
114	238
114	241
114	241
165	188
131	178
131	235
131	178
131	235
231	239
165	188
239	235
114	238
114	238
114	232
114	241
241	134
241	195
241	232
114	241
241	232
114	238
135	204
135	204
241	114
114	238
241	114
241	134
241	195
241	232
208	212
208	141
208	157
208	204
208	212
158	217
158	231
158	235
158	239
114	227
114	241
131	231
131	239
127	123
241	134
241	195
241	232
138	132
127	232
239	178
239	186
239	206
239	235
138	132
189	241
189	241
135	204
239	178
239	231
239	235
189	105
189	241
241	134
241	195
241	232
241	189
135	204
204	135
135	204
241	189
241	189
229	189
241	189
241	189
241	189
127	123
127	232
127	144
131	178
131	235
131	239
241	134
241	195
241	232
232	241
195	241
241	195
189	105
195	241
241	195
195	241
241	195
241	189
241	238
154	208
154	246
117	228
131	231
241	114
241	227
241	238
114	241
154	208
154	246
241	134
241	195
241	232
165	132
165	239
117	167
158	201
178	206
131	239
239	131
201	134
201	191
201	219
131	239
165	188
229	188
165	188
204	119
204	219
131	231
131	239
131	235
165	105
206	178
154	208
154	246
241	134
241	195
241	232
241	134
241	195
241	232
241	189
204	135
165	105
246	154
195	241
231	131
231	190
231	222
231	233
231	235
231	239
231	243
135	204
114	227
114	241
114	227
241	114
186	206
241	134
241	195
241	232
114	227
114	227
204	135
204	141
204	157
204	246
132	241
135	204
239	178
239	186
239	206
239	235
241	134
241	195
241	232
170	159
239	178
239	186
239	206
239	235
239	178
239	186
239	206
239	235
117	104
117	171
117	229
239	178
239	206
239	235
123	127
241	227
127	123
227	241
135	204
135	204
241	134
241	195
241	232
114	227
131	239
131	231
117	171
131	231
227	114
241	227
173	179
227	114
241	134
241	195
241	232
241	114
241	227
241	238
117	171
117	179
117	228
117	171
117	228
201	191
227	241
201	217
241	134
241	195
241	232
241	134
241	195
241	232
227	241
204	157
241	134
241	195
241	232
241	105
131	239
227	238
227	114
114	227
165	188
