208	246
201	118
201	217
201	219
201	217
198	144
234	114
234	227
234	238
234	241
135	204
204	135
144	198
165	166
165	184
165	209
227	234
130	170
241	195
241	232
214	165
214	229
158	217
158	217
153	160
153	177
198	144
198	144
227	241
227	175
117	111
117	171
198	144
198	144
198	244
165	132
241	232
241	238
196	180
241	227
195	241
241	114
241	227
241	234
241	238
241	195
241	195
241	232
214	184
208	141
208	154
208	204
208	237
208	246
196	202
196	210
201	217
158	217
191	158
158	217
227	241
135	204
104	216
239	212
227	234
227	241
227	241
227	234
227	234
227	114
227	234
227	238
227	241
165	169
241	195
241	232
198	144
239	132
158	201
158	217
175	205
175	227
208	212
104	229
158	239
201	217
201	219
158	239
239	158
239	178
239	186
239	235
239	131
196	118
201	217
158	217
158	201
158	217
158	191
135	204
117	228
247	222
201	180
201	210
158	217
158	217
158	217
158	217
117	228
117	171
229	117
229	171
241	227
241	195
241	232
241	195
241	232
189	105
234	114
234	155
234	227
234	238
234	241
127	123
127	232
241	124
241	168
241	210
239	231
239	231
201	158
158	217
165	166
117	171
117	228
117	228
117	228
131	181
241	195
241	232
135	204
189	145
189	226
204	135
201	134
204	219
135	204
175	134
117	171
117	228
241	238
195	241
241	195
195	241
158	217
217	158
134	175
158	217
241	195
241	232
132	138
132	239
241	195
195	241
241	195
135	204
234	227
234	238
234	241
138	239
158	217
201	219
123	241
158	217
158	217
158	239
123	241
229	111
229	165
229	184
229	208
229	209
229	214
241	195
241	232
158	201
241	114
241	227
241	234
241	238
241	227
135	204
239	231
239	235
132	239
234	227
234	238
234	241
158	201
158	217
229	104
158	201
158	217
104	216
204	135
158	239
239	206
158	201
117	171
135	204
204	135
105	241
206	239
239	212
201	158
201	219
155	234
155	238
155	241
158	201
123	127
131	178
131	235
131	239
155	234
155	238
155	241
123	127
158	201
158	201
131	239
158	217
239	212
201	158
201	219
201	158
234	114
234	155
234	227
234	238
234	241
234	114
234	155
234	227
234	238
234	241
241	232
158	217
239	231
239	235
138	132
138	132
221	173
204	157
241	227
241	234
227	241
132	138
132	239
241	114
241	227
241	234
241	238
241	195
241	232
241	195
241	232
227	175
227	232
239	231
201	219
201	219
158	201
158	217
158	219
135	204
131	181
201	217
201	219
135	204
158	201
158	217
218	226
132	239
239	132
127	232
229	214
229	111
229	214
241	195
241	232
241	114
241	227
241	234
241	238
201	219
234	114
234	155
234	227
234	238
234	241
241	195
241	234
241	238
195	234
195	238
