34	2	
1	0.38427215	-0.086693
2	0.27094379	0.07083013
3	0.13460819	0.1724151
4	0.25543639	0.1501622
5	0.13490991	0.05199973
6	0.14565779	0.03950402
7	0.14565779	0.03950402
8	0.21450287	0.19376831
9	-0.04089055	0.32989092
10	-0.04106403	0.17396221
11	0.13490991	0.05199973
12	0.11106412	0.07114381
13	0.13167043	0.10125117
14	0.14612072	0.3225114
15	-0.12975562	0.20748306
16	-0.12975562	0.20748306
17	0.05579609	-0.03406024
18	0.13685705	0.13193136
19	-0.12975562	0.20748306
20	0.0684749	0.26067445
21	-0.12975562	0.20748306
22	0.15761455	0.1174131
23	-0.12975562	0.20748306
24	-0.20774752	0.18930902
25	-0.0578159	-0.03108782
26	-0.07663156	-0.03352726
27	-0.11006359	0.11735905
28	-0.09619016	0.16473277
29	-0.06256946	0.14966439
30	-0.19744506	0.18010693
31	-0.08593197	0.24437853
32	-0.08902018	0.29292875
33	-0.32444305	-0.01190115
34	-0.37889445	-0.18921832
